run_dir,device,model_key,model_id,dtype,suite,run_group,num_images,num_tasks,batch_size,repeats,num_errors,total_elapsed_sec,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,images_per_second_mean,images_per_second_p50,images_per_second_p90,power_available,power_method,avg_power_watts
dell_output/gemma3n/test_bf16_20260108_231557,dellgb10,gemma3n,google/gemma-3n-E4B-it,torch.bfloat16,week5_5tasks_bounded,test_bf16_20260108_231557,500,5,1.0,1.0,0,12002.14,4700.713,4715.834,5868.93,2037.909,9442.718,0.221,0.212,0.282,True,,
dell_output/internvl/test_bf16_500_20260116_071428,dellgb10,internvl,OpenGVLab/InternVL2-2B,torch.bfloat16,week5_5tasks_bounded,test_bf16_500_20260116_071428,500,5,1.0,1.0,0,6052.24,2329.657,2264.635,3477.069,228.863,5389.69,0.502,0.442,0.782,True,,
dell_output/internvl/test_fp16_500_20260114_214335,dellgb10,internvl,OpenGVLab/InternVL2-2B,torch.float16,week5_5tasks_bounded,test_fp16_500_20260114_214335,500,5,1.0,1.0,0,5928.04,2279.697,2207.953,3364.95,225.416,5302.452,0.51,0.453,0.78,True,,
dell_output/llava/test_bf16_500img_20260109_171444,dellgb10,llava,ICTNLP/llava-mini-llama-3.1-8b,torch.bfloat16,week5_5tasks_bounded,test_bf16_20260109_171444,500,5,1.0,1.0,0,20399.09,8072.148,9725.389,9757.608,151.952,9838.43,0.186,0.103,0.443,True,,
dell_output/llava/test_fp16_500_20260116_123830,dellgb10,llava,ICTNLP/llava-mini-llama-3.1-8b,torch.float16,week5_5tasks_bounded,test_fp16_500_20260116_123830,500,5,1.0,1.0,0,20405.89,8073.569,9726.14,9759.947,148.866,10058.133,0.186,0.103,0.442,True,,
dell_output/moondream2/moondream2_bf16_500img_20260111_185915,dellgb10,moondream2,vikhyatk/moondream2,torch.bfloat16,week5_5tasks_bounded,moondream2_bf16_500img_20260111_185915,500,5,1.0,1.0,0,2525.93,953.583,928.946,1254.777,423.153,2180.953,1.118,1.077,1.516,True,,
dell_output/moondream2/moondream2_fp16_500img_20260111_131138,dellgb10,moondream2,vikhyatk/moondream2,torch.float16,week5_5tasks_bounded,moondream2_fp16_500img_20260111_131138,500,5,1.0,1.0,0,2523.74,951.723,926.366,1249.582,416.861,2139.501,1.12,1.08,1.518,True,,
dell_output/phi/phi_bf16_500img_20260110_223305,dellgb10,phi,microsoft/Phi-3.5-vision-instruct,torch.bfloat16,week5_5tasks_bounded,phi_bf16_500img_20260110_223305,500,5,1.0,1.0,0,19582.54,7739.104,6850.67,12253.929,1632.661,15671.432,0.147,0.146,0.208,True,nvml,
dell_output/phi/phi_fp16_500img_20260111_071845,dellgb10,phi,microsoft/Phi-3.5-vision-instruct,torch.float16,week5_5tasks_bounded,phi_fp16_500img_20260111_071845,500,5,1.0,1.0,0,19428.51,7680.131,6792.893,12255.807,1548.643,15616.943,0.149,0.147,0.214,True,nvml,
dell_output/smolvlm2/smol_bf16_500img_20260112_092951,dellgb10,smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,torch.bfloat16,week5_5tasks_bounded,smol_bf16_500img_20260112_092951,500,5,1.0,1.0,0,3716.51,1419.534,1373.766,2045.648,432.785,3794.526,0.789,0.728,1.163,True,nvml,
dell_output/smolvlm2/smol_fp16_500img_20260111_232343,dellgb10,smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,torch.float16,week5_5tasks_bounded,smol_fp16_500img_20260111_232343,500,5,1.0,1.0,0,3829.3,1462.874,1407.65,2070.352,531.09,4058.797,0.765,0.71,1.143,True,nvml,
orin_output/internvl2_2b/internvl2_bf16_10img_20260109_162812,ubuntu,internvl2_2b,OpenGVLab/InternVL2-2B,torch.bfloat16,week5_5tasks_bounded,internvl2_bf16_10img_20260109_162812,10,5,1.0,1.0,0,369.88,5344.577,4883.905,7140.982,1010.801,16876.99,0.231,0.2,0.319,False,,
orin_output/internvl2_2b/internvl2_fp16_10img_20260109_160831,ubuntu,internvl2_2b,OpenGVLab/InternVL2-2B,torch.float16,week5_5tasks_bounded,internvl2_fp16_10img_20260109_160831,10,5,1.0,1.0,0,385.94,5638.738,5163.648,7692.072,1014.675,17343.979,0.219,0.189,0.288,False,,
orin_output/moondream2/moondream2/moondream2_bf16_500img_20260118_161628,ubuntu,moondream2,vikhyatk/moondream2,torch.bfloat16,week5_5tasks_bounded,moondream2_bf16_500img_20260118_161628,500,5,10.0,1.0,0,10782.5,2276.345,2216.255,2901.662,1227.849,4670.301,0.461,0.451,0.601,True,tegrastats,
orin_output/moondream2/moondream2/moondream2_fp16_500img_20260119_122859,ubuntu,moondream2,vikhyatk/moondream2,torch.float16,week5_5tasks_bounded,moondream2_fp16_500img_20260119_122859,500,5,10.0,1.0,0,10948.69,2343.293,2289.704,2983.087,1228.51,4888.182,0.448,0.437,0.585,True,tegrastats,
orin_output/phi/phi_bf16_10img_20260109_112146,ubuntu,phi,microsoft/Phi-3.5-vision-instruct,torch.bfloat16,week5_5tasks_bounded,phi_10img_20260109_112146,10,5,10.0,1.0,0,572.79,9423.613,7773.153,16989.421,1782.514,17682.465,0.128,0.128,0.166,True,tegrastats,
